AbsNum,PostNum,Keywords
508,1096,Anxiety|Emotions|MRI|Social Interactions|STRUCTURAL MRI|Sub-Cortical|Trauma|Other - Bully
509,1103,Cognition|Trauma|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
510,1119,Electroencephaolography (EEG)|Other - lies
512,1271,Computational Neuroscience|Emotions|FUNCTIONAL MRI
515,1314,Cognition|Emotions|Hearing|Other - Voice; communication; limbic system
516,1400,Other - Artificial Intelligence; Amygdala; Evolutionary threat; fear; implicit attitude
517,1405,Cognition|Electroencephaolography (EEG)|Emotions
518,1406,Cognition|Electroencephaolography (EEG)|Emotions
519,1408,Cognition|Electroencephaolography (EEG)|Emotions
520,1411,Cognition|Electroencephaolography (EEG)|Emotions
521,1412,Cognition|Electroencephaolography (EEG)|Emotions
522,1413,Cognition|Computational Neuroscience|Cortex|Data analysis|Emotions|FUNCTIONAL MRI|Social Interactions|Other - perspective taking; eye tracking; moral dilemma
523,1488,Cognition|Emotions|FUNCTIONAL MRI
524,1559,Affective Disorders|Anxiety|Emotions|Epilepsy|FUNCTIONAL MRI|Limbic Systems|Psychiatric Disorders|Social Interactions|Trauma
525,1575,ADULTS|Aging|Computational Neuroscience|NORMAL HUMAN|Sexual Dimorphism|Social Interactions|STRUCTURAL MRI
527,1610,ADULTS|Anxiety|Experimental Design|FUNCTIONAL MRI|Learning|NORMAL HUMAN|Other - fear extinction
528,1635,Aging|Anxiety|Data analysis|MRI|STRUCTURAL MRI|Trauma
529,1667,Aging|Dopamine|Eating Disorders|Sub-Cortical|Other - Obesity
530,1675,Electroencephaolography (EEG)|Emotions|Hearing|Other - Music
531,1780,Emotions|FUNCTIONAL MRI|Psychiatric|Other - Love; Couple; Psychological characteristics
533,1993,ADULTS|Cognition|Electroencephaolography (EEG)|Social Interactions
534,1996,Cognition|Consciousness|Emotions|Memory|Perception|Somatosensory|Systems
535,2016,Development|Emotions|FUNCTIONAL MRI|Other - testosterone
536,2024,Emotions|FUNCTIONAL MRI|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Pons
537,2033,Cognition|Electroencephaolography (EEG)|Emotions|NORMAL HUMAN|Perception
538,2037,Emotions|Pain
539,2075,Social Interactions
540,2088,Cognition|FUNCTIONAL MRI|Other - positive illusion, romantic love, belief updating tasks, transcranial direct current stimulation
541,2145,Affective Disorders|Anxiety|Emotions|FUNCTIONAL MRI|Limbic Systems
542,2183,Emotions|FUNCTIONAL MRI|Learning|Other - Neurofeedback
544,2303,Emotions|FUNCTIONAL MRI|HIGH FIELD MR|Other - amygdala, emotion regulation, reappraisal, reproducibility, reliability, test-retest
545,2308,STRUCTURAL MRI|Sub-Cortical|Other - Childhood maltreatment
546,2311,Cognition|Emotions|FUNCTIONAL MRI|Sexual Dimorphism|Other - Sexual Orientation
547,2314,Affective Disorders|Glutamate|Neurotransmitter|Psychiatric Disorders|Other - Reward
548,2386,Consciousness|FUNCTIONAL MRI
549,2396,Emotions|Experimental Design|FUNCTIONAL MRI|Psychiatric Disorders|Social Interactions|Treatment|Other - fMRI neurofeedback
550,2450,Development|Morphometrics|PEDIATRIC|STRUCTURAL MRI|Structures|Other - theory of mind
551,2461,Dopamine|Emotions|FUNCTIONAL MRI|Limbic Systems|Noradrenaline
552,2527,ADULTS|Affective Disorders|Data analysis|Data Registration|Electroencephaolography (EEG)|Emotions|Hearing|Perception|Seretonin
553,2549,Cognition|Cortex|Data analysis|Electroencephaolography (EEG)|Emotions|Informatics|Modeling|Neuron|Perception|Social Interactions
554,2589,Development|FUNCTIONAL MRI|Learning|Other - childhood trauma; fear conditioning; temporal dynamics; generalized psychophysiological interaction; networks; transdiagnostic psychopathology; mechanisms
555,2592,Cortex|Emotions|FUNCTIONAL MRI|Other - Motivation
556,2620,Computational Neuroscience|Emotions|FUNCTIONAL MRI|Machine Learning|Multivariate
557,2633,Computational Neuroscience|Experimental Design|Neurotransmitter
559,2664,Data analysis|Emotions|MRI|Social Interactions|STRUCTURAL MRI
561,2693,Brainstem|Emotions|FUNCTIONAL MRI|Language
562,2743,Electroencephaolography (EEG)|Social Interactions|Other - Eye Contact, Facial Expressions, N170, EPN
563,2753,Affective Disorders|Other - Neural Habituation
564,2793,Emotions|FUNCTIONAL MRI|Limbic Systems|Social Interactions
565,2850,Social Interactions|Other - noradrenergic system
567,2888,FUNCTIONAL MRI|Machine Learning|MRI|Other - Premature Ejaculation
569,2904,Development|Emotions|FUNCTIONAL MRI|Social Interactions|Other - fMRI hyperscanning, adolescence, parenting
570,2905,Cortex|MRI|NORMAL HUMAN|Plasticity|STRUCTURAL MRI|Thalamus|Treatment|Other - mindfulness meditation
571,2911,Emotions|Hearing|Limbic Systems|Memory|Neuron|Perception|Single unit recording|Other - Amygdala; Hippocampus; iEEG
572,2928,Cognition|FUNCTIONAL MRI|Hemispheric Specialization|Social Interactions|Other - Hyperscanning
573,3028,Electroencephaolography (EEG)|Emotions|Machine Learning|Other - Humor; Amusement; Facial Expression; ECG; Electrodermal activity
574,3082,Emotions|FUNCTIONAL MRI|Limbic Systems|Meta- Analysis|Other - Hunger
575,3090,Affective Disorders|Emotions|Epilepsy|FUNCTIONAL MRI|Limbic Systems|Psychiatric Disorders|Trauma
577,3194,Cortex|Emotions|FUNCTIONAL MRI|Limbic Systems|NORMAL HUMAN|Sub-Cortical|Other - Emotion Regulation
578,3228,Affective Disorders|Computational Neuroscience|Emotions|Meta-Cognition|Psychiatric Disorders|Social Interactions
579,3258,Emotions|FUNCTIONAL MRI|Other - Face recognition
580,3268,Cognition|FUNCTIONAL MRI|Social Interactions|Other - ISC; Relatedness; Social Neuroscience
581,3300,Cognition|Cortex|Emotions|Experimental Design|FUNCTIONAL MRI|Limbic Systems|Multivariate|Social Interactions
582,3308,Basal Ganglia|Electroencephaolography (EEG)|Emotions|FUNCTIONAL MRI|Other - Neurofeedback
583,3373,Development|FUNCTIONAL MRI|Psychiatric Disorders|Social Interactions|Trauma|Other - Peer Victimization
584,3400,Emotions|FUNCTIONAL MRI|Meta- Analysis|MRI
585,3498,Addictions|Cortex|FUNCTIONAL MRI|Other - anticipation
586,3506,FUNCTIONAL MRI|Learning|Other - Micro-expression; Deception Detection; Functional Connectivity
587,3565,Modeling|MRI|Social Interactions
588,3587,Autism|Electroencephaolography (EEG)|Emotions|Perception|Social Interactions|Vision
589,3594,FUNCTIONAL MRI|Machine Learning|Multivariate|Pain
591,3616,Emotions|Limbic Systems|Social Interactions|STRUCTURAL MRI|Sub-Cortical|Other - Bully
592,3654,Emotions|FUNCTIONAL MRI|Social Interactions
593,3664,Cognition|Emotions|FUNCTIONAL MRI|Meta- Analysis
594,3700,Emotions|Limbic Systems|Social Interactions|STRUCTURAL MRI|Trauma|Other - Bully
595,1079,Aging|Computational Neuroscience|Degenerative Disease|Other - Hippocampal Subfields
596,1149,Design and Analysis|Modeling|MRI|NORMAL HUMAN|Statistical Methods|Other - Population Stratification
598,1260,Aging|Computational Neuroscience|Degenerative Disease|Machine Learning|Modeling|Other - Genetics
599,1409,Dopamine|FUNCTIONAL MRI
600,1436,Computational Neuroscience|Cortex|Other - Pair-wise Gene Interactions
602,1556,PEDIATRIC|STRUCTURAL MRI|Sub-Cortical|Other - Neonatal; Genome Wide Association Studies
603,1573,Electroencephaolography (EEG)|Motor|Seretonin
604,1583,Anxiety|Emotions|FUNCTIONAL MRI|Learning|Psychiatric Disorders|Other - Endocannabinoid-System; FAAH-polymorphism; Anandamide; fear-extinction; fatty acid amide hydrolase
605,1622,Acetylcholine|Data analysis|Meta- Analysis|Positron Emission Tomography (PET)|Other - Alzheimer’s disease
606,1834,Multivariate|Statistical Methods|STRUCTURAL MRI|Other - GWAS
607,1897,Aging|Degenerative Disease|FUNCTIONAL MRI|HIGH FIELD MR|MRI|Other - Down Syndrome; Alzheimer's; functional connectivity default mode network
608,1922,Astrocyte|Cortex|Informatics|Morphometrics|Myelin|STRUCTURAL MRI
609,1941,Atlasing|Basal Ganglia|Computational Neuroscience|Data analysis|Data Registration|Morphometrics|MRI|Sub-Cortical
610,1952,ADULTS|MRI|Schizophrenia|White Matter
611,1963,Data analysis|Informatics|Multivariate|Other - Genome-wide association
612,1981,Cortex|Segmentation|Other - transcriptomics
613,2152,FUNCTIONAL MRI|Movement Disorder|MRI|Statistical Methods
614,2234,Cortex|Data analysis|Statistical Methods|Sub-Cortical
615,2280,Aging|Data analysis|Degenerative Disease|Neurological|Tractography|White Matter|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Imaging Transcriptomics
616,2326,ADULTS|Cortex|MRI|NORMAL HUMAN|Statistical Methods|Other - population genetics
617,2497,Cognition|Computational Neuroscience|Degenerative Disease|FUNCTIONAL MRI|Other - MAPT mutation; Task-free functional connectivity; Presymptomatic and symptomatic MAPT mutation carriers;
618,2663,ADULTS|Cortex|FUNCTIONAL MRI|Modeling|MRI|NORMAL HUMAN|Plasticity|Other - Genetics
619,2823,Other - Fear conditioning; Heritability
620,2832,Autism|FUNCTIONAL MRI|Psychiatric Disorders|Schizophrenia|Other - Copy Number Variants
621,2839,Cerebellar Syndromes|Dopamine|Positron Emission Tomography (PET)|Psychiatric|Schizophrenia|Other - FDOPA; Spinocerebellar Ataxia; Psychosis; Gene Expression; Polygenic Scores
622,2974,Computational Neuroscience|Phenotype-Genotype|Statistical Methods|Other - Genetics
623,2978,Data analysis|FUNCTIONAL MRI|Statistical Methods|Univariate
624,3076,Other - spatial organization
625,3118,Computational Neuroscience|Development|Modeling|Spatial Normalization|Spatial Warping|STRUCTURAL MRI|Other - Williams syndrome
626,3233,Data analysis|MRI|Phenotype-Genotype|Tractography|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
627,3239,DISORDERS|Modeling|Neurological|Psychiatric Disorders|Other - Transcriptomics
628,3401,Development|FUNCTIONAL MRI|Modeling|PEDIATRIC
629,3417,FUNCTIONAL MRI|Language|Other - GWAS
630,3424,Affective Disorders|Aging|Cognition|Machine Learning|MRI|Psychiatric Disorders|Other - brain age
631,3435,Cerebral Blood Flow|Limbic Systems
632,3534,Aging|Cognition|Data analysis|Memory|MRI|NORMAL HUMAN|Sleep|Statistical Methods|STRUCTURAL MRI
633,3535,Aging|Degenerative Disease|Design and Analysis|Phenotype-Genotype|Positron Emission Tomography (PET)
634,3554,Cognition|Computational Neuroscience|Machine Learning|PEDIATRIC|Phenotype-Genotype|Psychiatric|Psychiatric Disorders|Schizophrenia|White Matter|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
635,1092,FUNCTIONAL MRI|Other - Response Inhibition; Parcellation; Graph Theory
636,1100,Cognition|Near Infra-Red Spectroscopy (NIRS)|Somatosensory|Other - virtual reality
637,1164,Basal Ganglia|FUNCTIONAL MRI|Movement Disorder|Neurological|STRUCTURAL MRI
638,1258,FUNCTIONAL MRI|Other - dynamics; mind-wandering
639,1285,FUNCTIONAL MRI|Learning|Motor|Other - motor imagery
640,1298,ADULTS|Cognition|Consciousness|Electroencephaolography (EEG)|NORMAL HUMAN|Perception|Somatosensory|Source Localization
641,1304,Cognition|FUNCTIONAL MRI|Other - Word problems; mathematical cognition; frontoparietal network; consistency hypothesis; arithmetic
642,1384,Cognition|FUNCTIONAL MRI|Other - social influence; neurofeedback; risky decision-making
643,1448,ADULTS|Cognition|Computational Neuroscience|Machine Learning
644,1484,Cognition|Design and Analysis|Experimental Design|FUNCTIONAL MRI|NORMAL HUMAN|Workflows|Other - Individual Differences
645,1500,Cortex|Plasticity|Transcranial Magnetic Stimulation (TMS)|Other - corticospinal excitability
646,1552,FUNCTIONAL MRI|Hearing|Hemispheric Specialization|Multivariate|Other - Music; Connectivity
647,1630,Cognition|FUNCTIONAL MRI|Other - Dynamics, Hidden Markov Model, Functional Gradients, Large-scale Hierarchies
648,1633,Aging|Cognition|FUNCTIONAL MRI|Multivariate|STRUCTURAL MRI|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
649,1658,Cognition|Development|DISORDERS|Language|PEDIATRIC|Other - Screen exposure
650,1751,Cognition|Cortex|ELECTROCORTICOGRAPHY|Perception|Somatosensory|Touch
651,1758,Aging|Cognition|FUNCTIONAL MRI|Other - Dual-tasking; Single-onset paradigm
652,1885,Aging|FUNCTIONAL MRI|Machine Learning|Multivariate|NORMAL HUMAN|STRUCTURAL MRI|Other - Executive Functions
653,1942,ADULTS|Cognition|Cortex|FUNCTIONAL MRI|Language|Multivariate|NORMAL HUMAN|Other - RSA
654,1994,Data analysis|FUNCTIONAL MRI|Language|Machine Learning
655,2039,Cognition|FUNCTIONAL MRI|Learning|NORMAL HUMAN|PEDIATRIC|Plasticity|Other - Symbols; Number processing; Ventral stream; Interactive Specialization
656,2045,Cerebellum|Other - Anterior cingulate cortex; conflict monitoring; error processing; dynamic causal modeling
657,2046,Cognition|Machine Learning|MEG|Multivariate|Vision|Other - Attention
658,2052,Aging|Cognition|Other - Cardiorespiratory Fitness
659,2076,MEG|Other - imagery
660,2077,ADULTS|Cognition|FUNCTIONAL MRI|Taste|Vision|Other - Obesity
661,2121,Cognition|ELECTROCORTICOGRAPHY|Other - Connectivity; Hyppocampus; brain oscillations
662,2177,Addictions|Cognition|Electroencephaolography (EEG)|FUNCTIONAL MRI|Other - no-smoking signs; attention; craving
663,2187,Other - BCI; real-time fMRI; population receptive field mapping; imagery;
664,2199,Affective Disorders|Cognition|Emotions|FUNCTIONAL MRI|Other - Emotion regulation
665,2211,Cognition|Emotions|FUNCTIONAL MRI|Other - alexithymia
666,2213,Aging|Cognition|FUNCTIONAL MRI|NORMAL HUMAN|Sexual Dimorphism
667,2243,Emotions|FUNCTIONAL MRI|Meta- Analysis|Other - amygdala, emotion regulation, reappraisal, PPI, psychophysiological interaction, connectivity, effective connectivity, functional connectivity, inferior frontal gyrus
669,2282,Experimental Design|FUNCTIONAL MRI|Other - decision-making; ambiguity; EEG-TMS
670,2288,ADULTS|Cognition|FUNCTIONAL MRI|Other - Fatigue
671,2347,Aging|Cognition|Development|FUNCTIONAL MRI|NORMAL HUMAN|Other - brain signal variability
672,2350,Cognition|Cortex|FUNCTIONAL MRI|Systems
673,2370,Computational Neuroscience|Data analysis|ELECTROPHYSIOLOGY|FUNCTIONAL MRI|Modeling|Noradrenaline|Other - Active Inference
674,2376,Cognition|FUNCTIONAL MRI|HIGH FIELD MR|Machine Learning|MRI|Multivariate|Other - Numerical Cognition
675,2456,Addictions|Machine Learning|Multivariate|Other - Delay Discounting
676,2526,Cerebral Blood Flow|FUNCTIONAL MRI|Optical Imaging Systems (OIS)|Somatosensory|Other - Excitation and inhibition
677,2562,MRI|White Matter
678,2572,Aging|Cognition|Other - Motivation
679,2577,Anxiety|Cognition|Computational Neuroscience|Emotions|Glutamate|Learning|Magnetic Resonance Spectroscopy (MRS)|Modeling|MR SPECTROSCOPY|Neurotransmitter
680,2600,FUNCTIONAL MRI|Other - Delay gratification; individual variability; functional connectivity; resting state
682,2662,Cognition|FUNCTIONAL MRI
683,2669,Cognition|FUNCTIONAL MRI|STRUCTURAL MRI|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
684,2670,Cognition|Electroencephaolography (EEG)|Machine Learning|Other - Inhibitory Control
686,2704,Electroencephaolography (EEG)|Learning|Motor|Other - neurofeedback; readiness potential
687,2739,Cognition|Limbic Systems|Machine Learning|Multivariate
689,2759,ADULTS|Cognition|Morphometrics|Neurological|Segmentation|Spatial Normalization|STRUCTURAL MRI|Structures
690,2773,Cognition|FUNCTIONAL MRI|Glutamate|Psychiatric Disorders|Schizophrenia|Other - cognitive control
692,2797,FUNCTIONAL MRI|Motor|Multivariate|Other - Action Representation, Representational Similarity Analysis, Sensitivity Index d', Hierarchy
693,2801,FUNCTIONAL MRI|Other - moral judgment, decision making, reasoning
694,2853,Cognition|Experimental Design|FUNCTIONAL MRI|Learning
695,2861,Learning|Memory|Other - Cognitive Conflict; Functional connectivity; Granger casality;
696,2865,Cognition|Cortex|FUNCTIONAL MRI|Learning|NORMAL HUMAN|Other - value
698,2949,Cognition|Computational Neuroscience|Electroencephaolography (EEG)|Meta-Cognition
699,2960,FUNCTIONAL MRI|Memory|Motor|Other - Audition; Imagery
700,3003,Basal Ganglia|Cognition|Learning|Motor|Systems|Other - Prediction Error
701,3078,Cognition|Computational Neuroscience|Data analysis|FUNCTIONAL MRI|Other - individual variability
703,3125,Cognition|FUNCTIONAL MRI|MEG|Psychiatric Disorders|Schizophrenia|Transcranial Magnetic Stimulation (TMS)
704,3168,Adrenaline|Brainstem|Noradrenaline
705,3244,Cognition|Cortex|FUNCTIONAL MRI|Modeling|NORMAL HUMAN|Sub-Cortical|Other - information seeking; inference; information value
706,3266,Emotions|MRI|PEDIATRIC|Segmentation|STRUCTURAL MRI|Other - Adolescents; Risk Taking
707,3283,Cognition|FUNCTIONAL MRI|Hearing|Learning|Perception|Plasticity|Statistical Methods|Other - Creativity
708,3295,Development|Eating Disorders|Machine Learning|MRI|PEDIATRIC|STRUCTURAL MRI
709,3305,Cognition|FUNCTIONAL MRI
710,3329,Cognition|Electroencephaolography (EEG)|FUNCTIONAL MRI|Transcranial Magnetic Stimulation (TMS)|Other - Proactive cognitive control; Decision making
711,3341,Basal Ganglia|Cognition|FUNCTIONAL MRI|NORMAL HUMAN
712,3352,Cognition|Experimental Design|FUNCTIONAL MRI|Machine Learning|Meta-Cognition|Multivariate|NORMAL HUMAN
713,3383,Emotions|FUNCTIONAL MRI|MRI|Neurological|PEDIATRIC|STRUCTURAL MRI|Sub-Cortical
714,3406,ADULTS|Aging|Cognition|FUNCTIONAL MRI|Memory|Other - Executive Function
715,3418,Computational Neuroscience|FUNCTIONAL MRI|Other - Pleasure
717,3440,Cognition|FUNCTIONAL MRI|Motor|Perception|Somatosensory
718,3465,Electroencephaolography (EEG)|FUNCTIONAL MRI|Informatics|NORMAL HUMAN|Plasticity|STRUCTURAL MRI|Other - Auditory Cognition, Psychophysics, Inter-subject Correlation, Multimodal imaging database
720,3487,Aphasia|Cerebrovascular Disease|Cognition|Hemispheric Specialization|Language|Machine Learning|Sub-Cortical
721,3580,Other - reinforcement learning; decision making; target search; continuous action space; exploitation; exploration; Bayesian modeling; task-based fMRI
722,3586,Basal Ganglia|Obessive Compulsive Disorder|Thalamus|Other - Cognitive flexibility
724,3671,ADULTS|Cognition|FUNCTIONAL MRI|Learning
725,1154,Aphasia|Language|MEG|Neurological
726,1168,Aphasia|Degenerative Disease|MEG|Motor|Other - Speech Production
727,1184,ADULTS|FUNCTIONAL MRI|Language|NORMAL HUMAN|Other - Chinese Character Reading
728,1265,Basal Ganglia|Cerebellum|Language|NORMAL HUMAN|STRUCTURAL MRI|Sub-Cortical|Other - Bilingualism
729,1272,Cortex|Language|MRI
730,1399,Cortex|Hearing|Language|MEG|Perception|Other - Speech, Auditory, AEF, STG, STS
731,1446,Emotions|Experimental Design|FUNCTIONAL MRI|Social Interactions|Other - Voice; Auditory system;  rt-fMRI-nf
732,1481,ADULTS|Experimental Design|FUNCTIONAL MRI|Language|Neurological|NORMAL HUMAN|Other - Grammar
733,1540,Hearing|MRI
734,1574,Cortex|Language|STRUCTURAL MRI|Other - Reading
735,1613,ADULTS|Aging|Cognition|Cortex|Data analysis|Experimental Design|FUNCTIONAL MRI|Language|NORMAL HUMAN|Univariate
736,1639,Other - reading disabilities, rich-club, reading network, connectome, DTI
737,1643,Cognition|FUNCTIONAL MRI|Language|Machine Learning|Modeling|Other - Semantic Processing; Naturalistic Stimuli
738,1804,ADULTS|Cognition|Design and Analysis|FUNCTIONAL MRI|Language|Memory|Multivariate
739,1918,Atlasing|FUNCTIONAL MRI|Language|Other - pre-surgical fMRI
740,1985,Aging|Language|NORMAL HUMAN|Transcranial Magnetic Stimulation (TMS)
741,2130,Multivariate|Other - Thematic Integration
742,2186,Emotions|FUNCTIONAL MRI|Hearing|MRI|NORMAL HUMAN|Perception|Other - Dynamic Causality Modelling; Amygdala; Auditory Cortex; Auditory Scene Analysis
743,2188,Aging|Language|MRI|Plasticity|STRUCTURAL MRI|Other - Singing
744,2206,FUNCTIONAL MRI|Language|Memory|Other - default mode network, multiple demand network
745,2251,Language|Other - Speech Perception; Speech in noise
746,2276,Other - Cross-language,  language structural network, syntax, semantic
747,2281,Aphasia|Language|MRI|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Reading
748,2317,ADULTS|Aphasia|Cognition|Cortex|Language|Motor|Other - Diffuse Optical Tomography (DOT)
750,2436,Acquisition|FUNCTIONAL MRI|Language|Learning|Plasticity|Other - Anatomy
751,2458,ADULTS|FUNCTIONAL MRI|Language|Learning|NORMAL HUMAN
752,2495,Cognition|Language|NORMAL HUMAN|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
753,2523,Cognition|Development|FUNCTIONAL MRI|Language|MRI|NORMAL HUMAN|PEDIATRIC
754,2552,FUNCTIONAL MRI|Language|Other - Reading; Bilingualism; Biliteracy; Orthographic Depth
755,2563,Epilepsy|Language|MEG|PEDIATRIC
756,2585,Aging|FUNCTIONAL MRI|Other - Bilingualism, Language experience, Cognitive reserve, Resting-state connectivity, Alerting network, Orienting network, Executive control network
757,2615,ADULTS|FUNCTIONAL MRI|Language|Other - Chinese characters, word recognition
758,2627,Autism|Cognition|FUNCTIONAL MRI|Language|MRI|Social Interactions
759,2638,Consciousness|Electroencephaolography (EEG)|Language|Meta-Cognition|Social Interactions|Source Localization|Statistical Methods
761,2711,FUNCTIONAL MRI|Modeling|Other - thematic relation, taxonomic relation, semantic
762,2818,Electroencephaolography (EEG)|Language|Social Interactions|Source Localization|Statistical Methods
763,2826,FUNCTIONAL MRI
764,2851,Epilepsy|FUNCTIONAL MRI|Language|Other - Epilepsy surgery
765,2962,Aphasia|Demyelinating|Tractography|Other - Corpus callosum
766,2971,FUNCTIONAL MRI|Language|Other - bimodal bilinguals
768,3058,FUNCTIONAL MRI|Language|Other - Resting State; Graph Theory; Reading;
769,3167,Electroencephaolography (EEG)|Hearing|Language
770,3175,FUNCTIONAL MRI|Language|Other - bilingualism; working memory; phonological working memory; non-verbal working memory
771,3199,FUNCTIONAL MRI|Language|Tractography|White Matter|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Working memory
772,3203,Basal Ganglia|Cerebellum|Language|PEDIATRIC
773,3229,Cortex|FUNCTIONAL MRI|Language|Multivariate|Vision|Other - Reading
775,3364,Aphasia|Language|Machine Learning|MRI|STRUCTURAL MRI|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Stroke
776,3429,Aphasia|DISORDERS|Language|Tractography|White Matter|Other - Stroke
778,3543,Cognition|FUNCTIONAL MRI|Machine Learning|Memory|Multivariate
779,3582,Development|Language|MRI|PEDIATRIC|Pediatric Disorders|STRUCTURAL MRI|Tractography|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
780,3607,Cognition|Cortex|Language|Near Infra-Red Spectroscopy (NIRS)
783,1275,Other - sequential working memory, lateral prefrontal cortex, posterior parietal cortex, subthalamic nucleus
784,1282,fMRI CONTRAST MECHANISMS|Movement Disorder|Neoplastic Disease|Psychiatric Disorders|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - Phrenic nerve
785,1293,Computational Neuroscience|Development|Machine Learning|Memory|Multivariate|Plasticity|STRUCTURAL MRI|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
786,1346,FUNCTIONAL MRI|Learning|Memory|Multivariate
787,1368,FUNCTIONAL MRI|Memory|Other - Cognitive load
788,1435,Cognition|Electroencephaolography (EEG)|Epilepsy|Memory|Neurological|PEDIATRIC|Pediatric Disorders|Treatment|Other - Working Memory
789,1452,FUNCTIONAL MRI|GABA|Other - Baclofen, Motor Learning, Magnetic Resonance Spectroscopy (MRSI)
790,1503,ADULTS|Design and Analysis|Electroencephaolography (EEG)|Learning|Motor|Other - bimanual
791,1524,Cortex|FUNCTIONAL MRI|Motor|Peripheral Nerve|Plasticity|Somatosensory|Spinal Cord|STRUCTURAL MRI|Trauma
792,1542,Learning|Motor|Multivariate|Plasticity|Other - Repetition suppression
793,1560,Cognition|Computational Neuroscience|FUNCTIONAL MRI|Language|Memory
794,1566,Electroencephaolography (EEG)|Machine Learning|Memory
795,1620,Electroencephaolography (EEG)|Epilepsy
796,1642,Motor|Plasticity|Somatosensory|White Matter|Other - neurofeedback fmri
797,1659,Learning|Motor|Transcranial Magnetic Stimulation (TMS)|Other - Imagery
798,1713,FUNCTIONAL MRI|Learning|Machine Learning|Memory
799,1728,Demyelinating|MRI|Myelin|Neurological|Tractography|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC|Other - chronic stroke
800,1825,Electroencephaolography (EEG)|Memory|Other - resistance training; visuospatial working memory; memory load; P2; P300
801,1856,Cognition|FUNCTIONAL MRI|Other - Visual short-term memory; attention; individual difference
802,1857,Amnesia|Demyelinating|Epilepsy|FUNCTIONAL MRI|Limbic Systems|Memory|Neurological|Plasticity|Psychiatric Disorders|Other - Autoimmune encephalitis
803,1926,Basal Ganglia|Dopamine|FUNCTIONAL MRI|Memory|PEDIATRIC|Other - Obesity
804,1965,Electroencephaolography (EEG)|Memory|Sleep
805,1975,ADULTS|GABA|Magnetic Resonance Spectroscopy (MRS)|MEG|NORMAL HUMAN|Perception|Plasticity|Vision|Other - monocular deprivation; ocular dominance plasticity; binocular rivalry; binocular combination; homeostatic plasticity
806,1984,Memory|Segmentation|STRUCTURAL MRI|Sub-Cortical|Other - Hippocampus; Hippocampal subfields; Pattern separation; Childhood Amnesia
807,2004,Epilepsy|Memory|Plasticity|Tractography|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
808,2031,Other - pattern separation; hippocampus; task fMRI; gradients
809,2041,Cognition|Data analysis|FUNCTIONAL MRI|Memory|MRI|Statistical Methods|Other - Dynamic connectivity
810,2056,ADULTS|Aging|Cognition|FUNCTIONAL MRI|Other - n-back, BOLD parametric modulation, BOLD synchronization, functional connectivity, BOLD variability
811,2064,Other - working memory training; transfer Effects; striatum
812,2154,Cerebrovascular Disease|Motor|Transcranial Magnetic Stimulation (TMS)
813,2167,ADULTS|Cognition|Design and Analysis|Experimental Design|FUNCTIONAL MRI|MRI|Plasticity|STRUCTURAL MRI|Therapy|Other - mindfulness based intervention
814,2169,Memory|STRUCTURAL MRI|White Matter|Other - stroke; multivariate lesion symptom mapping; atlas-based lesion symptom mapping; multicomponent model of memory; activated long-term memory
815,2176,ADULTS|Aging|Cortex|GABA|Glutamate|Magnetic Resonance Spectroscopy (MRS)|Motor|Plasticity|Somatosensory
816,2201,FUNCTIONAL MRI|Movement Disorder|Plasticity|White Matter|Other - Stroke ; Neurofeedback ; Rehabilitation
817,2209,Electroencephaolography (EEG)|Learning|Sleep|Somatosensory|Other - Targeted Memory Reactivation
818,2245,Cognition|Experimental Design|Language|Memory
819,2271,Other - working memory; stress; breakup; romantic relationship; depressive symptoms
820,2278,MEG|Memory
821,2286,FUNCTIONAL MRI|Learning|Other - Rule Learning; Dynamic Network Connectivity
823,2302,HIGH FIELD MR|Learning|MRI|Plasticity|STRUCTURAL MRI|WHITE MATTER IMAGING - DTI, HARDI, DSI, ETC
824,2315,Cortex|DISORDERS|FUNCTIONAL MRI|Plasticity|Vision|Other - Retinotopy; Population receptive field; primary visual cortex; scotoma
825,2340,Aging|Cognition|Memory|MRI|Multivariate
827,2430,Aging|FUNCTIONAL MRI|Plasticity
828,2446,FUNCTIONAL MRI|Motor
829,2581,FUNCTIONAL MRI|Motor|Plasticity|Other - stroke, BCI-guided training
830,2677,Cerebrovascular Disease|FUNCTIONAL MRI|Motor|Neurological|Plasticity|Other - functional connectivity
831,2682,Emotions|FUNCTIONAL MRI|Memory
