Virtual Poster No	Abstract Title	Presenter First Name	Presenter Last Name	Submitter Institution	Parent Category	Primary Category
381	Comparison of Human Hippocampal Volumes and BOLD Values of Two Independent Manual Segmentations	Mark	McAvoy	Washington University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
382	Altered functional brain connectivity to verbal sounds in preterm born infants	Isabelle	Gaudet	Université de Montréal	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
383	Quantitative Susceptibility Mapping of Brain Tissue-Iron Distribution in the Psychosis Spectrum	David	Roalf	University of Pennsylvania	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
386	Brain Neural Flexibility as a Potential Biomarker for ADHD Evaluation	Weiyan	Yin	University of North Carolina at Chapel Hill	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
388	EEG Microstates in Patients with Psychotic Disorders: Effect of Antipsychotic medication	Renate	de Bock	University of Basel	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
389	Disentangling Neural Correlates of the Alien Limb in Corticobasal Syndrome with Multimodal MRI	Matthias	Schroeter	Max Planck Institute for Human Cognitive and Brain Sciences	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
390	FMRI-Based Prediction of Clinical Improvement in Psychosis with Machine and Deep Learning	Jason	Smucny	University of California, Davis	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
391	Reduced structural connectivity in newborns with congenital heart disease.	Megan	Ní Bhroin	Trinity College Dublin	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
393	A double-blind rtfMRI neurofeedback study on auditory verbal hallucinations	Jana	Zweerings	RWTH Aachen University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
394	Transient States Changes of Functional Network Connectivity in Major Depressive Disorder	Hailong	Li	Huaxi MR Research Center (HMRRC), Department of Radiology, West China Hospital of Sichuan University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
395	T1/T2 ratios: investigating myelination in perinatal stroke patients	Jordan	Hassett	University of Calgary	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
396	Reward circuitry activations during feedback of performance differentiate anxiety variants in youth	Anthony	Juliano	University of Vermont	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
397	Association between Grey Matter Volume and Altered Brain Signal Complexity in Schizophrenia	Yi-Ju	Lee	Academia Sinica	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
398	Enhancement of memory in schizophrenia with PDE4 inhibitor Roflumilast	James	Gilleen	Roehampton	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
399	Hippocampal progression in First Episode Psychosis	Diana	Tordesillas-Gutiérrez	IDIVAL-CIBERSAM	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
400	Functional connections underlying the bilingual executive function advantage in children with autism	Celia	Romero	University of Miami	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
401	The Impact of Multiple Sclerosis Lesion Tract Burden on the Cortex	M Ethan	MacDonald	University of Calgary	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
402	Abnormal Sulcal Pattern in Children with 16p11.2 Deletion and Duplication Syndrome	Banu	Ahtam	Boston Children's Hospital/Harvard Medical School	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
403	Structural gray matter network-based measures correlate with clinical measures in patients with MS	ELISA	COLATO	University College of London UCL	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
404	Integrity of the Locus Coeruleus in Alzheimer's Disease revealed by Neuromelanin-Sensitive MRI	Clifford	Cassidy	The Royal Ottawa Institute of Mental Health Research	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
405	Graph theoretic analyses of brain networks in schizophrenia during memory formation & consolidation	Emmanuel	Meram	Wayne State University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
406	Effects of lifetime alcohol consumption on surface morphometry in alcohol-dependent patients	Nicolas	Leenaerts	KU Leuven	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
407	Baseline Hippocampal Grading Predicts Cognitive Decline in Subjects with Mild Alzheimer’s Disease	Neda	Shafiee	McGill University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
408	Classifying Heterogeneous Presentations of PTSD via Intrinsic Connectivity Network Machine Learning	Andrew	Nicholson	Western University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
409	White matter alterations in a preclinical APP knock-in mouse model of Alzheimer's disease using DTI	Zachery	Morrissey	University of Illinois at Chicago	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
410	Motor Performance and White Matter Microstructure in Young Children with Prenatal Alcohol Exposure	Preeti	Kar	University of Calgary	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
411	Psychopathology phenotypes explain individuals’ unique deviations from normative neurodevelopment	Linden	Parkes	University of Pennsylvania	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
412	Insula hypoactivation is associated with dissociative experiences	Hao-Ting	Wang	University of Sussex	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
413	Altered Cortical Folding Depth in Fetuses with Down Syndrome	Hyuk Jin	Yun	Boston Children's Hospital, Harvard Medical School	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
414	Association between Structural and Functional Alterations in Anorexia Nervosa	Feliberto	De la Cruz	University Hospital Jena	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
415	Brain atrophy progression after four years in de novo Parkinson’s disease: a longitudinal study	Christina	Tremblay	Montreal Neurological Institute, McGill University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
416	Neuroimaging defined psychosis spectrum phenotypes in the general population	Gaelle	Doucet	Icahn School of Medicine At Mount Sinai	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
417	Cerebral glucose metabolism in different ALS genotypes	Joke	De Vocht	UZ/KULeuven	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
418	Aberrant functional connectivity in affective networks underlies persistent post-traumatic headache	Scott	Holmes	Harvard University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
420	Language network connectivity relates to language outcomes in children with Benign Epilepsy with CTS	Jennifer	Vannest	University of Cincinnati	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
421	Estimating the impact of drug prevention on functional brain outcomes using Bayesian mixed effects	patricia	Conrod	Universite de Montreal	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
422	DTI-ALPS index reveals age-related glymphatic system impairment in epilepsy following TBI	Adam	Goodman	University of Alabama at Birmingham	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
423	Dynamic Coactivation Patterns and Depressive Symptoms in a Normative Adult Sample	Zachary	Goodman	University Of Miami	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
424	Mapping Individually Actionable Brain-Behavior Space Variation Across the Mood Spectrum	Clara	Fonteneau	Yale University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
425	Evaluation of MRI scoring systems prediction with two-year outcome in Neonatal Encephalopathy	Megan	Ní Bhroin	Trinity College Dublin	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
426	Sparse Deep Neural Networks on Imaging Genetics for Schizophrenia Discrimination	Jiayu	Chen	Tri-Institutional Center for Translational Research in Neuroimaging and Data Science (TReNDS)	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
427	Accelerated brain ageing predicts a future diagnosis of dementia	Francesca	Biondo	IOPPN, King's College London	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
428	Uncoupling of Energy Consumption and Functional Connectivity in Psychotic Disorders	Xiaopeng	Song	McLean Hospital, Harvard Medical School	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
429	Network-Based Cortical Atrophy in Posttraumatic Stress Disorder: Results from the ENIGMA PGC PTSD	Delin	Sun	Duke University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
430	Directional relationships between brain nodes in schizophrenia recovered by dynamic graphical models	Tristan	Attisha	Wayne State University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
431	Mapping Neural Correlates of Biological Motion in School-Age Children with Autism using HD-DOT	Alexandra	Svoboda	Washington University in St. Louis	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
432	Neurophysiological abnormalities in post-traumatic stress disorder during working-memory processing	Veronika	Pak	Dalhousie University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
433	Selective Left Hemisphere Auditory Cortex Pathophysiology in First Episode Psychosis	Dean	Salisbury	University of Pittsburgh School of Medicine	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
434	Cortical Thickness in Adolescent Females with Anorexia Nervosa - Interactions with BMI and Puberty	Lauren	Breithaupt	Harvard Medical School	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
435	Hippocampal volume changes associated with childhood trauma in acute suicidal behavior	Diane	Kim	Renaissance School of Medicine at Stony Brook University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
436	Brain age through a deep learning approach a biomarker of early-onset Alzheimer's disease phenotypes	Morgan	Gautherot	University of Lille, Inserm U1171, CHU Lille	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
437	White matter abnormalities in children with the Child Behavior Checklist-Dysregulation Profile	Elisabet	Blok	Erasmus MC	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
438	Altered Functional Connectivity in Limbic & Striatal Network Regions in Adolescents with Concussion	Rachelle	Ho	McMaster University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
439	Imaging markers of neuropsychiatric profiles in Friedreich ataxia	Janna	Krahe	RWTH Aachen University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
440	The dual cognitive syndrome hypothesis in Parkinson’s disease: volumetric and morphological features	Quentin	DEVIGNES	Lille University Medical Centre, FRANCE	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
441	Cortisol Effects on Brain Functional Connectivity during Emotion Processing in Women with Depression	Charlene	Rivera-Bonet	University of Wisconsin-Madison	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
442	Effects of serial ketamine on connectivity of resting-state networks in major depressive disorder	Megha	Vasavada	University of California Los Angeles	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
443	Control over robotically-mediated hallucinations through dFC-based rt-fMRI neurofeedback	Herberto	Dhanis	Ecole polytechnique fédérale de Lausanne (EPFL)	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
444	Association of mild cognitive impairment and hippocampal shape across five cohorts	William	Matloff	University of Southern California	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
445	Degenerative cervical myelopathy leads to neuroplasticity of the cervical spinal cord and the brain	Kevin	Vallotton	University of Zurich	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
446	The structural and functional interplay in autism animal models: Grik4over mice as an example	Amr	Eed	Instituto de Neurociencias de Alicante	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
447	Distinct functional connectivity patterns in Primary and Secondary Progressive Multiple Sclerosis	Giulia	Bommarito	University of Genoa	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
449	Variability in Striatal DOPA Decarboxylase Activity and Symptoms in Primary Psychosis	Daniel	Eisenberg	Clinical & Translational Neuroscience Branch, NIMH, NIH	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
450	Motor cortical beta-band inter-trial variability and age-related change in autism spectrum disorder	Luke	Bloy	The Children's Hospital of Philadelphia	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
451	The structural basis for functional connectivity: an evidence from agenesis of corpus collosum	Xiaopeng	Song	McLean Hospital, Harvard Medical School	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
452	Precision Medicine in Post−Concussion Syndrome Using Computational Models	Melisa	Gumus	University of Toronto	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
453	OCD symptom dimensions predict the degree of dACC modulation during motor control and working memory	Thomas	Meram	Wayne State University School of Medicine	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
454	Age-related parietal GABA alterations in children with Autism Spectrum Disorder	Marilena	DeMayo	University of Sydney	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
455	Preferential response to slow stimuli in MDD, and its basis in intrinsic neural activity (at rest)	Shankar	Tumati	University of Ottawa Institute of Mental Health Research	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
456	Morphological brain correlates of substance user: A systematic review and meta-analysis	Victor	Pando-Naude	Aarhus University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
457	Reduced asymmetry of hand knob volume and impaired U-fiber hand tracts in aging adults with ASD	Janice	Hau	SDSU	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
458	Delayed correlation analyses are sensitive to functional network changes in Parkinson’s disease	Mite	Mijalkov	Karolinska Institutet	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
459	Atlas-based in vivo Measurement of Human Locus Coeruleus in Neurodegenerative Disorders with 7T MRI	Rong	Ye	University of Cambridge	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
460	Alterations in Social Cognitive Networks in Individuals at Risk for Psychosis	Kristen	Haut	Rush University Medical Center	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
461	Dynamic functional connectivity markers of cognitive impairment in Parkinson’s disease	Linda	Larson-Prior	University of Arkansas for Medical Sciences	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
463	Brain aging, estrogen, and APOE genotype	Christina	Boyle	USC	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
464	Longitudinal symptoms changes are correlated to altered local gyrification index (LGI) in autism	Yu-Chieh	Chen	National Taiwan University College of Medicine	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
465	Discovering Propagation Pattern of Neurodegeneration across Brain Networks	Defu	Yang	Hangzhou Dianzi University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
466	Mapping Neurodevelopmental Trajectories of Thalamo-cortical Systems Across the Mental Health Spectra	Clara	Fonteneau	Yale University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
467	Adolescent behavior and brain volume related to adult polygenic risk score for alcohol use disorder	Scott	Mackey	University of Vermont	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
468	Modeling Central Olfactory Network Alteration in Type 2 Diabetes: From Primary to Advanced Cortex	Wen	Zhang	Nanjing Drum Tower hospital, The affiliated hospital of Nanjing university	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
469	Serum matrix metalloproteinase-9 is related to grey matter atrophy in REM sleep behavior disorder	Filip	Ruzicka	Charles University in Prague	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
470	White matter microstructural deficits in 364 adults with a history of suicide attempts	Joanna	Bright	University of Southern California	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
471	Disrupted functional connectome hierarchy in depression: a multi-site fMRI study with 2234 subjects	Mingrui	Xia	Beijing Normal University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
472	Alteration of Frontal-Executive and Corticolimbic Circuits in Late-Life Depression and Relationship	Neda	Rashidi-Ranjbar	Institute of Medical Science, University of Toronto	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
473	Effects of saracatinib on reward circuitry in subjects with and without a family history of alcohol	Krishna	Patel	Hartford Hospital	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
474	Advanced vs. resilient brain aging in a harmonized cohort of 29,841 MRIs; the iSTAGING consortium	Ioanna	Skampardoni	National Technical University of Athens	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
475	Relationship between fMRI BOLD signal and MEG theta power in autism spectrum disorders	Molly	Wilkinson	San Diego State University/University of California San Diego	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
476	Prefrontal GABA Concentration Correlates with Memory in Older Adults at Risk for Alzheimer’s Disease	Linda	Mah	Rotman Research Institute, Baycrest, University of Toronto	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
478	A brief intervention targeting impulsivity and sensation seeking: effects on reward anticipation.	Irina	Filippi	CHU Sainte-Justine, University of Montreal	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
479	Associations between MRI, Hammersmith Infant Neurological Exam and General Movements in Very Preterm	Karen	Harpster	Cincinnati Children's Hospital and Medical Center	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
480	Relationship between amygdala subregional networks and positive symptom severity in schizophrenia	Fengmei	Fan	Beijing Huilongguan Hospital, Peking University Huilongguan Clinical Medical School	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
481	FC deficits as neural biological correlate of trait and state characteristics in MDD	Zongling	He	The Clinical Hospital of Chengdu Brain Science Institute, MOE Key Lab for Neuroinformation, School o	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
482	Progressive cerebral degeneration detected by MR spectroscopy in clinical subtypes of ALS	Daniel	Ta	University of Alberta	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
483	Neural oscillations abnormalities in first-episode schizophrenia	Yanli	Zhao	BeijingHuilongguanHospital	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
485	Sex-Specific Hippocampal Volume and Verbal Memory Relationships in Psychosis	Gabriella	Buck	McGill University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
486	Altered Probabilistic Connectivity of Striatal-Executive Networks in Children with Hydrocephalus	Daamoon	Ghahari	Western University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
487	Multimodal Imaging Hippocampal Neurodegeneration and Functional Connectivity in AD	Shaozhen	Yan	Xuanwu Hospital Capital Medical University	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
488	Exploring the Relationship Between Early Psychosis Verbal Memory Deficits and White Matter Integrity	Charlie	Henri-Bellemare	McGill University	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
489	Characterisation of structural underpinnings of functional connectivity differences in schizophrenia	Jiayi	Zhang	SBIC	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
490	Functional MRI to distinguish apraxia-related processes in stroke: Healthy pilot study	Fred	Tam	Sunnybrook Research Institute	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
491	Shape analysis of hippocampal subfields in patients with mild cognitive impairment	Kirsten	Lynch	University of Southern California	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
492	Autism Symptoms and Sensory Abnormalities: Their Relationship and Underlying Functional Connectivity	Garrett	Cardon	Brigham Young University	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
493	Similar Cerebral Neurodegradation Between Mild Traumatic Brain Injury and Alzheimer's Disease	Kenneth	Rostowsky	University of Southern California	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
494	Altered Brain Connectivity in Patients with Schizophrenia	Matthew	Hughes	Swinburne University of Technology	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
495	Sex-specific Volumetric Differences Associated with Substance Use through Adolescence	Xavier	Navarri	Universite de Montreal	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
496	White Matter Integrity in Hemodialysis Patients	Wesley	Richerson	Medical College of Wisconsin	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
497	Neuroimaging Biomarkers of Longitudinal Changes in Former Athletes with Multiple Concussions.	Anna	Vasilevskaya	University of Toronto	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
498	Amygdala-related functional connectivity change in idiopathic REM sleep behavior disorder	Heejung	Kim	SMG-SNU Boramae Medical Center	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
499	Functional connectivity associated with primary and secondary reward in bipolar disorder	Zhiren	Wang	Beijing Huilongguan Hospital, Peking University Huilongguan Clinical Medical School	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
500	Changes in three-tissue microstructural compositions of normal-appearing white matter after stroke	Wasim	Khan	The Florey Institute of Neuroscience and Mental Health	Disorders of the Nervous System	Neurodegenerative/ Late Life (eg. Parkinson’s, Alzheimer’s)
501	Dimensional and categorical approaches to map neurobiology underlying cognitive imbalances in autism	Suk JUN	Hong	Child Mind Institute	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
502	Obesity and Cerebral Blood Flow in the Reward Circuitry of Adolescents with Bipolar Disorder	Anahit	Grigorian	Sunnybrook Health Sciences Centre	Disorders of the Nervous System	Psychiatric (eg. Depression, Anxiety, Schizophrenia)
503	Regional cerebellar volumes in children with autism and associations with core autism traits	Micah	Plotkin	Kennedy Krieger Institute	Disorders of the Nervous System	Neurodevelopmental/ Early Life (eg. ADHD, autism)
505	An fMRI study on the neural bases of interference in false belief reasoning.	Foyzul	Rahman	Aston University	Emotion, Motivation and Social Neuroscience	Social Cognition
506	Functional and morphological changes related to sexual orientation in female-to-male transsexuals	Gwang-Won	Kim	Chonnam National University	Emotion, Motivation and Social Neuroscience	Sexual Behavior
507	Aberrant cortical connectivity demonstrated by HEFs in patients with mood disorders	Yutaka	Kato	Tsutsuji Mental Hospital	Emotion, Motivation and Social Neuroscience	Emotional Perception
508	Reduced Accumbal Volume in Individuals with Anxious Tendencies, Regardless of Their Bully History	Hideo	Suzuki	University of Nebraska-Lincoln	Emotion, Motivation and Social Neuroscience	Social Interaction
509	Relationship between depression and dorsolateral prefronto-thalamic tract injury following mild TBI	Hyeok Gyu	Kwon	Eulji university	Emotion, Motivation and Social Neuroscience	Social Cognition
510	Neural responses of in-group “favoritism” and out-group “discrimination” toward moral behaviors	Lijun	Yin	Department of Psychology, Sun Yat-sen University	Emotion, Motivation and Social Neuroscience	Social Cognition
512	Brain Decoding of Affective Meaning through Personal Stories	Hong Ji	Kim	Center for Neuroscience Imaging Research	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
515	Neural processing of alarm and non-alarm signaling in human scream calls	Sascha	Frühholz	University of Zurich	Emotion, Motivation and Social Neuroscience	Emotional Perception
516	Artificial intelligence is perceived as evolutionary threat: neural evidence from amygdala response	Zhengde	Wei	University of Science & Technology of China	Emotion, Motivation and Social Neuroscience	Emotional Perception
517	An ERP study of appreciation in different uses	Hui-Ya	Wang	Department of Educational Psychology and Counselin, NTHU	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
518	Creative comprehension and appreciation: an ERP study	Jun-Yu	Yang	National Tsing Hua University	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
519	An ERP study of humor in the resolution processes	Jui-Hsuan	Hsieh	National Tsing Hua University	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
520	An EEG Study of Magic Attention and awareness	Min-Tsung	Yueh	National Tsing Hua University	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
521	An ERP study of humor and monetary rewards	Chuan-Han	Kao	National Tsing Hua University	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
522	Social perspective taking shapes brain hemodynamic activity and eye-movements during movie viewing	Mareike	Bacha-Trams	Aalto University	Emotion, Motivation and Social Neuroscience	Social Interaction
523	An fMRI study of reasoning jokes on humor processing	Yu-Chen	Chan	National Tsing Hua University	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
524	Altered Hippocampal Function and Self-Reflection Network in Psychogenic Nonepileptic Seizures (PNES)	Adam	Goodman	University of Alabama at Birmingham	Emotion, Motivation and Social Neuroscience	Social Cognition
525	Dissecting the midlife crisis: Social, personality & demographic indicators in social brain anatomy	Hannah	Kiesow	RWTH Aachen	Emotion, Motivation and Social Neuroscience	Social Interaction
527	Replicable neural and behavioral patterns of delayed fear extinction in a multicenter fMRI setting	Isabelle	Ridderbusch	University of Marburg	Emotion, Motivation and Social Neuroscience	Emotional Learning
528	Child and Adult Stress: Effects on the Brain and Cognitive Ability in the UK Biobank Sample	Elizabeth	McManus	University of Manchester	Emotion, Motivation and Social Neuroscience	Social Neuroscience Other
529	The relationship between BMI and volume of subcortical structures is age-dependent	Filip	Morys	Montreal Neurological Institute	Emotion, Motivation and Social Neuroscience	Emotion and Motivation Other
530	Temporal Decoding of Vocal and Musical Emotions: Same Code, Different Timecourse?	Sebastien	Paquette	Université de Montréal	Emotion, Motivation and Social Neuroscience	Emotional Perception
531	An fMRI study on the magnitude of romantic love and psychological characteristics in couples	Junhyung	Kim	Department of Psychiatry, Yonsei University College of Medicine	Emotion, Motivation and Social Neuroscience	Social Neuroscience Other
533	ERP evidence for modulations of spontaneous gender categorization of faces by perceived race	Shihui	Han	Peking University	Emotion, Motivation and Social Neuroscience	Social Cognition
534	Neurobiological Affective Processes’ Contribution to General Intelligence	Leonardo	Christov-Moore	Brain and Creativity Institute, University of Southern California	Emotion, Motivation and Social Neuroscience	Emotional Perception
535	An Interplay Between Pubertal and Adult Testosterone and Brain Response to Faces in Young Men	Zhijie	Liao	University of Toronto	Emotion, Motivation and Social Neuroscience	Social Cognition
536	The role of the pontine region in visual affective processing	Jing Jun	Wong	The University of Hong Kong	Emotion, Motivation and Social Neuroscience	Emotional Perception
537	Cognitive consequences related to depressive traits: an ERPs study	Jean-Philippe	Caron	Université du Québec à Trois-Rivières	Emotion, Motivation and Social Neuroscience	Emotional Perception
538	Reduced probability but preserved empathic ability in adolescents with CD and high CU traits	YALI	JIANG	SOUTH CHINA NORMAL UNIVERSITY	Emotion, Motivation and Social Neuroscience	Emotional Perception
